sku,name,description,type,category_id,subcat_id,s_price,rental_price,deposit,qty,images
K443NL,"Gold finish with emerald kundan and pearl nose ring","Women's real look jewellery is exquisitely designed by Yosshita & Neha, these round shaped gold finish nose ring with round emerald kundan and pearl edge detail, looks elegant with gold beaded string that can go well with any ethnic outfits.",jewellery,1,0,21500,6450,21500,1,https://srishringarr.com/yn/uploads/2026/04/K443NL_1777556333_69f35b6df306f.jpg
EAR310,"Beautiful party wear drop earrings with red stone and shiny white stones in silver finish","1) Women's Real Look, Traditional Micro Gold Polished, American Diamond Earrings designed by Yosshita & Neha.
2) Look feminine and elegant by wearing these beautiful Earrings.
3) Featuring attractive designs, these Earrings can look elegant and stylish when worn with anarkali, lehengas, gowns or saris.
4) So enhance your style quotient on almost any occasion by wearing these Earrings.
5) These Earrings are studded with White Coloured American Diamond stones & A Pearl drop.
6) Comes micro Gold polished.
7) It has Brass metal base.
8) Give a rich yet elegant touch to your attire.
9) Screw for locking.
10) These Earrings have been intricately designed for all the jewellery lovers.",jewellery,17,59,1900,570,1900,1,"https://srishringarr.com/yn/uploads/2026/07/EAR310_ai_1784141539.jpg,https://srishringarr.com/yn/uploads/2026/04/EAR310_1777556302_69f35b4e21d5f.jpg"
K466NL,"Buy Timeless Treasures Trellis American Diamond Necklace Set","1) Womens Real Look, Traditional Micro Gold Polished antique finish with american diamond Necklace Set designed by Yosshita & Neha. 
2) This Necklace Set will compliment any Traditional or Modern attire. The color compliments all outfits & may be worn as a statement piece to any occasion. Once you wear this Jewellery Set, you will look no less than a DIVA. Ideal Necklace Jewellery Set for Party and Festive wear.
3) Featuring attractive designs, this Necklace set can look elegant and stylish when worn with anarkali, lehengas and sarees. 
4) So enhance your style quotient on almost any occasion by wearing this set. 
5) This necklace & earrings are studded with american diamond with antique finish giving it a real look.
6) Comes with micro gold polished. 
7 It has copper metal base. 
8) Give a rich yet elegant touch to your attire. 
9) This set has been intricately designed for all the jewellery lovers and brides.",jewellery,1,3,22600,6780,22600,1,https://srishringarr.com/yn/uploads/2026/04/K466NL_1777552878_69f34dee8b861.jpg
SET472,"Beautiful gold colored bridal jewelry set with red teardrop stones and sparkling white stones","Elevate your bridal and festive look with this magnificent choker necklace and earring set from Srishringarr, a masterpiece of regal design and timeless elegance. Exquisitely crafted with gleaming gold-toned metal, the set features a breathtaking tapestry of brilliant white stones and rich ruby-red gems arranged in a striking floral-leaf motif. The cascading silhouette of the choker draws the eye with its intricate craftsmanship, making it the perfect statement piece for grand weddings, receptions, and sangeet celebrations. Complete with matching chandelier earrings, this set promises to envelop you in an aura of majestic sophistication and unforgettable glamour.

Key Features:
• Exquisite Craftsmanship: Features intricate, openwork gold-toned metal detailing adorned with shimmering pave-set white crystals and premium synthetic ruby stones.
• Regal Design Motif: Designed with a structured choker collar that flows into a majestic, cascading central pendant showcasing a striking teardrop ruby focal point.
• Matching Statement Earrings: Includes a pair of coordinating dangle earrings that beautifully mirror the leafy design, finished with delicate teardrop ruby drops.
• Adjustable Fit: The necklace is equipped with an adjustable gold-threaded drawstring dori to ensure a customized and comfortable fit around the neckline.
• Occasion Wear: Ideal for brides, bridesmaids, and high-profile festive events such as weddings, receptions, and sangeets, pairing effortlessly with luxurious lehengas and sarees.",jewellery,1,2,15500,4650,15500,1,https://srishringarr.com/yn/uploads/2026/04/SET472_1777552878_69f34dee3c89c.jpg
K1219ON,"Buy Moonlight Kundan Bridal Masterpiece","1) Real Look, Traditional Micro Gold Polished Semi Precious Kundan & Enamel Necklace Set designed by Yosshita & Neha.
2) This Necklace Set will compliment any Traditional or Modern attire. The color compliments all outfits & may be worn as a statement piece to any occasion. Once you wear this Jewellery Set, you will look no less than a DIVA. Ideal Necklace Set for Party and Festive wear.
3) Featuring attractive designs, this Necklace set can look elegant and stylish when worn with Anarkali, Lehengas, Gowns or Sarees.
4) So enhance your style quotient on almost any occasion by wearing this set.
5) This bridal set is studded with Semi Precious Kundan & Enamel giving it a real look.
6) Give a rich yet elegant touch to your attire.
7) This set has been intricately designed for all the jewellery lovers.
8) Suitable for brides.",jewellery,3,0,60000,18000,60000,1,https://srishringarr.com/yn/uploads/2026/04/K1219ON_1777552877_69f34ded88c5e.jpg
K434,"Buy Dazzling Dahlia Daze American Diamond Necklace Set","Elevate your bridal splendor with this magnificent, comprehensive bridal jewelry set from Srishringarr, meticulously designed to embody royal grandeur. Every piece in this opulent collection showcases exquisite Kundan craftsmanship accented with rich green and red enamel work and delicate seed pearls, offering an unrivaled traditional elegance. Perfect for weddings, receptions, and grand sangeet celebrations, this majestic ensemble ensures you radiate timeless grace and sophistication on your special day.

Key Features:

• Exquisite Kundan Artistry: Features premium Kundan stone settings meticulously arranged in classic royal motifs.

• Traditional Meenakari Accents: Vibrant red and green enamel work adds a rich heritage touch to the gold-plated metal base.

• Lustrous Pearl Detailing: Beautifully adorned with dangling seed pearls and pristine bead drops that enhance the sets fluidity and movement.

• Complete Bridal Ensemble: Includes an ornate choker, a multi-layered long necklace, matching drop earrings, an elegant matha patti, a regal bajuband, and dual hathphools for a cohesive, breathtaking look.

• Premium Craftsmanship: Handcrafted with precision on high-quality alloy to provide durability and a luxurious, heavy-gold aesthetic.

• Perfect for Grand Occasions: An ideal choice for brides, designed to complement traditional lehengas and heavy bridal sarees for weddings and receptions.",jewellery,1,3,13000,3900,13000,1,https://srishringarr.com/yn/uploads/2026/04/K434_1777552877_69f34ded1ca95.jpg
K446NL,"Buy Starburst Symphony American Diamond Necklace Set",,jewellery,2,0,18500,5550,18500,1,https://srishringarr.com/yn/uploads/2026/04/K446NL_1777552876_69f34dece4dc8.jpg
SET452,"Rent Celestial Circlet American Diamond Necklace Set","Elevate your wedding attire with Srishringarr's breathtaking floral necklace set.

Key Features:
• Accents: Stunning red teardrop stones.
• Craftsmanship: Intricate silver-toned CZ setting.",jewellery,1,2,12500,3750,12500,1,"https://srishringarr.com/yn/uploads/2026/07/SET452_ai_1784139743.jpg,https://srishringarr.com/yn/uploads/2026/04/SET452_1777552876_69f34decb4c9c.jpg"
SET456A,"Rent Pink Stone Graceful Garden Gems",,jewellery,1,2,7900,2370,7900,1,"https://srishringarr.com/yn/uploads/2026/07/SET456A_ai_1784141354.jpg,https://srishringarr.com/yn/uploads/2026/04/SET456A_1777552876_69f34dec91f4d.jpg"
K412,"Buy Radiant Regalia American Diamond Necklace Set",,jewellery,2,0,19500,5850,19500,1,https://srishringarr.com/yn/uploads/2026/04/K412_1777552876_69f34dec3582a.jpg
SET413A,"Buy Diamond Dazzle Dreamscape",,jewellery,2,0,19930,5979,19930,1,https://srishringarr.com/yn/uploads/2026/04/SET413A_1777552875_69f34debea3c6.jpg
SET414A,"Buy Crystal Clarity American Diamond Necklace Set",,jewellery,2,0,20930,6279,20930,1,https://srishringarr.com/yn/uploads/2026/04/SET414A_1777552875_69f34deb9699e.jpg
SET415,"Buy Dazzling Dandelion Dreams",,jewellery,2,0,10330,3099,10330,1,https://srishringarr.com/yn/uploads/2026/04/SET415_1777552875_69f34deb111e0.jpg
SET416,"Buy Ethereal Elegance Ensemble",,jewellery,2,0,7240,2172,7240,1,https://srishringarr.com/yn/uploads/2026/04/SET416_1777552874_69f34deaca19c.jpg
K201,"Buy Royal Antique Kundan Bridal Set",,jewellery,3,0,20000,6000,20000,1,https://srishringarr.com/yn/uploads/2026/04/K201_1777552874_69f34dea7f13c.jpg
SET412,"Buy Emerald Stardust Serenity",,jewellery,2,0,19730,5919,19730,1,https://srishringarr.com/yn/uploads/2026/04/SET412_1777552874_69f34dea45bed.jpg
SET386,"Buy Sparkling Starlight American Diamond Necklace Set",,jewellery,2,0,14930,4479,14930,1,https://srishringarr.com/yn/uploads/2026/04/SET386_1777552874_69f34dea21399.jpg
SET393,"Buy Eternal Splendor American Diamond Necklace Set",,jewellery,2,0,18330,5499,18330,1,https://srishringarr.com/yn/uploads/2026/04/SET393_1777552873_69f34de9e3263.jpg
K393,"Buy Vintage Vows American Diamond Necklace Set",,jewellery,2,0,16500,4950,16500,1,https://srishringarr.com/yn/uploads/2026/04/K393_1777552873_69f34de98fd51.jpg
SET399,"Buy Moonlit Majesty American Diamond Necklace Set",,jewellery,2,0,14330,4299,14330,1,https://srishringarr.com/yn/uploads/2026/04/SET399_1777552873_69f34de93b9e7.jpg
SET404B,"Buy Exquisite American Diamond Necklace Set",,jewellery,2,0,21640,6492,21640,1,https://srishringarr.com/yn/uploads/2026/04/SET404B_1777552872_69f34de8e02c3.jpg
SET409A,"Buy Radiant American Diamond Necklace Set",,jewellery,2,0,7930,2379,7930,1,https://srishringarr.com/yn/uploads/2026/04/SET409A_1777552872_69f34de8bdd3f.jpg
SET472A,"Rent Traditional gold choker necklace with black hanging drop stone and matching earrings","Embodying a striking contrast of regal gold and dramatic black, this exquisite jewelry set from Srishringarr is a masterclass in high-fashion opulence. The necklace features an intricate, lattice-like gold collar meticulously adorned with brilliant white stones, culminating in a magnificent tiered central pendant anchored by a majestic teardrop black stone. Accompanied by a pair of matching statement drop earrings, this set is designed to turn heads at grand weddings, high-glamour receptions, or festive sangeet nights.

Key Features:
• Design Aesthetic: A captivating fusion of traditional Indian craftsmanship and modern royal aesthetics, featuring a dramatic black and gold color palette.
• Intricate Metalwork: Crafted with premium gold-toned plating showcasing high-definition openwork filigree that creates a luxurious, lace-like appearance.
• Premium Stone Setting: Embellished with shimmering pave-set clear stones and hand-selected, faceted black teardrop and round gemstones for maximum brilliance.
• Statement Pendant: The centerpiece of the necklace features a tiered floral arrangement of dark gemstones leading to a dangling pear-cut drop that adds graceful movement.
• Coordinating Earrings: Includes a matching pair of statement drop earrings designed to mirror the intricate detailing and dangling teardrop motifs of the necklace.
• Occasion Wear: A perfect luxury accessory designed to elevate bridal trousseaus, reception gowns, and festive designer ensembles.",jewellery,1,2,15500,4650,15500,1,https://srishringarr.com/yn/uploads/2026/04/SET472A_1777552872_69f34de87c7a4.jpg
SET447A,"Buy Opulent Orchid Oasis",,jewellery,2,0,11000,3300,11000,1,https://srishringarr.com/yn/uploads/2026/04/SET447A_1777552872_69f34de84fbd0.jpg
SET454,"Buy Sparkling Seaspray Diamonds",,jewellery,2,0,5200,1560,5200,1,https://srishringarr.com/yn/uploads/2026/04/SET454_1777552872_69f34de8285fc.jpg
SET447,"Buy Crystal Chalice Diamonds",,jewellery,2,0,11000,3300,11000,1,https://srishringarr.com/yn/uploads/2026/04/SET447_1777552871_69f34de7ed74c.jpg
K430,"Buy Lustrous Luxury American Diamond Necklace Set",,jewellery,2,0,25000,7500,25000,1,https://srishringarr.com/yn/uploads/2026/04/K430_1777552871_69f34de7cdd34.jpg
SET411,"Buy Lustrous American Diamond Necklace Set",,jewellery,2,0,9940,2982,9940,1,https://srishringarr.com/yn/uploads/2026/04/SET411_1777552871_69f34de7a912b.jpg
SET404,"Buy Pearl Prism Paradise American Diamond Necklace Set",,jewellery,2,0,21640,6492,21640,1,https://srishringarr.com/yn/uploads/2026/04/SET404_1777552871_69f34de786fcd.jpg
K407,"Buy Graceful Gardenia Gaze American Diamond Necklace Set",,jewellery,2,0,21000,6300,21000,1,https://srishringarr.com/yn/uploads/2026/04/K407_1777552871_69f34de7568cd.jpg
SET410,"Buy Brilliant Bouquet Blessings",,jewellery,2,0,16700,5010,16700,1,https://srishringarr.com/yn/uploads/2026/04/SET410_1777552871_69f34de716afd.jpg
K410,"Buy Midnight Marvel Melody American Diamond Necklace Set",,jewellery,2,0,16900,5070,16900,1,https://srishringarr.com/yn/uploads/2026/04/K410_1777552870_69f34de6e4bf4.jpg
